status,funding_rounds,funding_total_usd,milestones,relationships,age,success_status,success_binary
operating,3.0,39750000.0,5.0,17.0,9.2,0,0
acquired,,,,6.0,7.0,1,1
acquired,,,4.0,12.0,7.0,1,1
operating,,,1.0,2.0,7.0,0,0
operating,,,1.0,2.0,6.41,0,0
acquired,1.0,5000000.0,3.0,14.0,7.25,1,1
operating,,,1.0,3.0,7.0,0,0
acquired,1.0,,4.0,9.0,6.83,1,1
operating,5.0,68069200.0,,14.0,7.25,0,0
operating,3.0,10125293.0,1.0,6.0,12.0,0,0
operating,3.0,33000000.0,3.0,19.0,9.0,0,0
operating,,,,,4.0,0,0
operating,,,1.0,2.0,5.25,0,0
operating,,,4.0,3.0,2.61,0,0
operating,1.0,100000.0,1.0,,4.25,0,0
operating,,,,,10.0,0,0
operating,,,1.0,,7.0,0,0
operating,2.0,11300000.0,,2.0,9.0,0,0
operating,2.0,,,4.0,11.0,0,0
operating,,,,,8.99,0,0
operating,1.0,1500000.0,1.0,8.0,11.0,0,0
operating,,,,,8.0,0,0
operating,1.0,2500000.0,2.0,7.0,9.0,0,0
operating,,,,,4.0,0,0
operating,1.0,,,,7.0,0,0
operating,1.0,2100000.0,,2.0,7.0,0,0
operating,1.0,,1.0,9.0,11.0,0,0
acquired,,,3.0,2.0,7.0,1,1
operating,,,,1.0,32.0,0,0
operating,,,1.0,3.0,7.25,0,0
operating,,,,3.0,14.0,0,0
operating,,,2.0,1.0,13.0,0,0
acquired,,,,1.0,29.0,1,1
operating,,,,,7.0,0,0
acquired,7.0,121500000.0,3.0,45.0,10.0,1,1
operating,,,,,6.83,0,0
closed,1.0,,,5.0,3.72,0,0
operating,1.0,40000.0,1.0,5.0,4.0,0,0
closed,1.0,,2.0,4.0,7.0,0,0
operating,,,1.0,,11.0,0,0
operating,2.0,840000.0,,19.0,19.0,0,0
operating,,,3.0,5.0,6.67,0,0
operating,3.0,95097200.0,3.0,28.0,11.75,0,0
acquired,1.0,3000000.0,2.0,6.0,7.0,1,1
operating,,,2.0,10.0,7.25,0,0
acquired,,,,,17.0,1,1
operating,,,,,7.0,0,0
operating,1.0,350000.0,1.0,2.0,7.15,0,0
operating,1.0,,2.0,5.0,7.33,0,0
operating,,,,1.0,6.83,0,0
operating,,,,,7.0,0,0
operating,,,2.0,3.0,17.32,0,0
operating,,,1.0,4.0,36.25,0,0
operating,1.0,3100000.0,3.0,5.0,7.0,0,0
operating,,,1.0,3.0,17.0,0,0
acquired,,,,,7.0,1,1
ipo,4.0,10500000.0,1.0,1.0,7.0,1,1
acquired,,,1.0,91.0,7.0,1,1
operating,,,1.0,2.0,8.0,0,0
operating,,,1.0,3.0,4.0,0,0
