funding_rounds,funding_total_usd,milestones,relationships,success_binary
3.0,39750000.0,5.0,17.0,0
0.0,0.0,0.0,6.0,1
0.0,0.0,4.0,12.0,1
0.0,0.0,1.0,2.0,0
0.0,0.0,1.0,2.0,0
1.0,5000000.0,3.0,14.0,1
0.0,0.0,1.0,3.0,0
1.0,0.0,4.0,9.0,1
5.0,68069200.0,0.0,14.0,0
3.0,10125293.0,1.0,6.0,1
3.0,33000000.0,3.0,19.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,2.0,0
0.0,0.0,4.0,3.0,0
1.0,100000.0,1.0,0.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,1.0,0.0,0
2.0,11300000.0,0.0,2.0,0
2.0,0.0,0.0,4.0,1
0.0,0.0,0.0,0.0,0
1.0,1500000.0,1.0,8.0,1
0.0,0.0,0.0,0.0,0
1.0,2500000.0,2.0,7.0,0
0.0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0
1.0,2100000.0,0.0,2.0,0
1.0,0.0,1.0,9.0,1
0.0,0.0,3.0,2.0,1
0.0,0.0,0.0,1.0,1
0.0,0.0,1.0,3.0,0
0.0,0.0,0.0,3.0,1
0.0,0.0,2.0,1.0,1
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0
7.0,121500000.0,3.0,45.0,1
0.0,0.0,0.0,0.0,0
1.0,0.0,0.0,5.0,0
1.0,40000.0,1.0,5.0,0
1.0,0.0,2.0,4.0,0
0.0,0.0,1.0,0.0,1
2.0,840000.0,0.0,19.0,1
0.0,0.0,3.0,5.0,0
3.0,95097200.0,3.0,28.0,1
1.0,3000000.0,2.0,6.0,1
0.0,0.0,2.0,10.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
1.0,350000.0,1.0,2.0,0
1.0,0.0,2.0,5.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,2.0,3.0,1
0.0,0.0,1.0,4.0,1
1.0,3100000.0,3.0,5.0,0
0.0,0.0,1.0,3.0,1
0.0,0.0,0.0,0.0,1
4.0,10500000.0,1.0,1.0,1
0.0,0.0,1.0,91.0,1
0.0,0.0,1.0,2.0,0
0.0,0.0,1.0,3.0,0
0.0,0.0,1.0,3.0,1
0.0,0.0,0.0,4.0,0
0.0,0.0,1.0,5.0,1
1.0,100000.0,1.0,1.0,0
0.0,0.0,1.0,3.0,0
1.0,45000.0,0.0,0.0,1
0.0,0.0,0.0,4.0,1
1.0,280000.0,2.0,2.0,0
0.0,0.0,1.0,0.0,0
5.0,46400000.0,2.0,20.0,0
0.0,0.0,1.0,2.0,0
0.0,0.0,1.0,3.0,0
2.0,182500.0,0.0,3.0,0
0.0,0.0,4.0,100.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,3.0,8.0,0
0.0,0.0,0.0,0.0,0
2.0,4815940.0,0.0,4.0,0
1.0,0.0,1.0,1.0,1
0.0,0.0,0.0,3.0,0
0.0,0.0,0.0,5.0,0
0.0,0.0,1.0,3.0,1
0.0,0.0,3.0,23.0,1
0.0,0.0,0.0,2.0,0
1.0,0.0,0.0,6.0,0
0.0,0.0,1.0,1.0,1
2.0,4350000.0,0.0,2.0,0
0.0,0.0,1.0,11.0,1
3.0,4000000.0,2.0,7.0,1
3.0,3268000.0,1.0,9.0,0
1.0,8500000.0,1.0,2.0,1
0.0,0.0,1.0,2.0,0
0.0,0.0,1.0,3.0,0
1.0,250000.0,1.0,2.0,1
0.0,0.0,1.0,3.0,0
3.0,1310000.0,2.0,12.0,1
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,1.0,1
2.0,44925050.0,1.0,5.0,1
0.0,0.0,1.0,17.0,0
0.0,0.0,3.0,4.0,0
1.0,800000.0,0.0,5.0,0
1.0,0.0,0.0,4.0,0
0.0,0.0,0.0,1.0,0
1.0,6000000.0,1.0,0.0,0
0.0,0.0,2.0,2.0,0
0.0,0.0,3.0,2.0,0
0.0,0.0,0.0,9.0,1
1.0,10200000.0,0.0,2.0,1
1.0,274999.0,0.0,4.0,1
0.0,0.0,0.0,10.0,1
1.0,1600000.0,0.0,3.0,0
1.0,205000.0,0.0,1.0,0
1.0,0.0,0.0,1.0,0
0.0,0.0,0.0,1.0,0
1.0,1000000.0,2.0,3.0,0
0.0,0.0,0.0,1.0,0
3.0,15286415.0,1.0,2.0,1
3.0,27000000.0,1.0,13.0,0
5.0,37570663.0,2.0,4.0,1
0.0,0.0,2.0,27.0,1
0.0,0.0,0.0,2.0,0
1.0,250000.0,0.0,0.0,0
1.0,0.0,0.0,3.0,1
1.0,28000000.0,3.0,7.0,1
1.0,230000.0,0.0,3.0,0
1.0,375000.0,0.0,3.0,0
5.0,142000000.0,3.0,38.0,1
0.0,0.0,0.0,2.0,0
3.0,14229998.0,3.0,14.0,1
0.0,0.0,0.0,2.0,0
1.0,500000.0,2.0,6.0,0
0.0,0.0,1.0,6.0,0
1.0,100000.0,2.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,1.0,1.0,0
1.0,0.0,1.0,2.0,0
0.0,0.0,1.0,1.0,0
2.0,27100000.0,1.0,1.0,0
0.0,0.0,2.0,2.0,0
0.0,0.0,1.0,6.0,0
0.0,0.0,1.0,9.0,1
0.0,0.0,0.0,2.0,1
0.0,0.0,1.0,2.0,0
1.0,0.0,0.0,1.0,0
0.0,0.0,2.0,4.0,1
0.0,0.0,1.0,3.0,0
0.0,0.0,0.0,2.0,1
0.0,0.0,0.0,1.0,0
2.0,24300000.0,3.0,2.0,1
2.0,1750000.0,2.0,3.0,1
3.0,17900000.0,4.0,6.0,1
5.0,13900000.0,3.0,5.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,12.0,1
2.0,0.0,3.0,5.0,1
0.0,0.0,1.0,2.0,0
0.0,0.0,1.0,2.0,0
0.0,0.0,1.0,5.0,0
0.0,0.0,0.0,2.0,1
1.0,0.0,2.0,2.0,0
0.0,0.0,1.0,3.0,1
0.0,0.0,1.0,3.0,0
0.0,0.0,3.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,1.0,0
0.0,0.0,0.0,2.0,0
1.0,0.0,3.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,2.0,1
1.0,150000.0,1.0,2.0,0
0.0,0.0,1.0,1.0,1
2.0,650000.0,0.0,6.0,0
0.0,0.0,2.0,11.0,0
0.0,0.0,2.0,3.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
1.0,75000.0,0.0,2.0,0
1.0,41000000.0,2.0,16.0,1
1.0,3000000.0,0.0,2.0,0
3.0,8829914.0,0.0,13.0,0
0.0,0.0,0.0,2.0,0
0.0,0.0,0.0,0.0,0
2.0,27200000.0,0.0,11.0,0
2.0,3749964.0,1.0,15.0,0
1.0,16000000.0,1.0,2.0,1
2.0,60000000.0,1.0,12.0,1
0.0,0.0,1.0,4.0,1
1.0,1100000.0,2.0,3.0,1
3.0,12322500.0,3.0,16.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,1.0,9.0,1
0.0,0.0,1.0,2.0,0
0.0,0.0,0.0,6.0,0
7.0,351600000.0,3.0,29.0,1
1.0,225000.0,0.0,4.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,2.0,0
0.0,0.0,0.0,2.0,1
0.0,0.0,1.0,1.0,1
0.0,0.0,1.0,4.0,0
1.0,50000.0,1.0,1.0,0
1.0,0.0,3.0,1.0,0
0.0,0.0,1.0,8.0,0
4.0,14734000.0,1.0,8.0,1
1.0,125000000.0,1.0,1.0,1
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,1
1.0,1200000.0,3.0,9.0,1
1.0,0.0,1.0,3.0,0
0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,1.0,0
1.0,0.0,0.0,0.0,0
2.0,1300000.0,1.0,3.0,0
0.0,0.0,2.0,6.0,1
0.0,0.0,2.0,5.0,0
0.0,0.0,0.0,0.0,1
4.0,18000000.0,2.0,16.0,0
0.0,0.0,1.0,2.0,0
1.0,150000.0,1.0,1.0,0
0.0,0.0,1.0,2.0,0
0.0,0.0,3.0,21.0,1
0.0,0.0,0.0,0.0,1
0.0,0.0,1.0,1.0,0
0.0,0.0,0.0,1.0,0
